dataset,chosen_method,gt_sampled_nodes,current_recall,hybrid_recall,recall_diff,avg_pred_current,avg_pred_hybrid,bg_median,bg_noise,snr_proxy,dyn_range,fg_ratio,vol_max,max_to_med,bg_gradient_std
44b6_0113de3b,Method 2: Mild Bg-Sub,3,0.9999999996666666,0.9999999996666666,0.0,292.75,311.0,154.0,124.53669384729429,10.872296746028077,1471.0,0.061580657958984375,2950.0,19.155842911958253,0.9934152725968167
44b6_0b24845f,Method 2: Mild Bg-Sub,2,0.49999999975,0.49999999975,0.0,393.5,715.5,1007.0,525.574499629355,1.868431558243806,1903.0,0.0,2691.0,2.672293915865999,0.4383429111564445
44b6_0c582fdc,Method 2: Mild Bg-Sub,3,0.9999999996666666,0.9999999996666666,0.0,366.75,421.75,476.0,366.93847294292067,3.2103473872574018,1582.0,0.008104324340820312,2477.0,5.203781403281903,0.6507978543030913
44b6_0db75fae,Method 1: Standard Bg-Sub,8,0.999999999875,0.999999999875,0.0,199.25,280.25,128.0,315.7894736842105,5.114166504718061,1719.0,0.08106613159179688,2497.0,19.507810975952268,2.9393987743420147
44b6_12dfb391,Method 2: Mild Bg-Sub,34,0.9999999999705883,0.9999999999705883,0.0,694.75,794.0,412.0,248.33209785025946,5.210763969274012,1640.0,0.03948783874511719,3517.0,8.536407559795933,0.5480543947989112
44b6_144b256d,Method 2: Mild Bg-Sub,5,0.9999999998,0.9999999998,0.0,853.25,1044.5,748.0,334.32171979243884,2.751840272456042,1577.0,0.00276947021484375,2696.0,3.6042780266807752,0.39177119909375907
44b6_1574802b,Method 1: Standard Bg-Sub,6,0.8333333331944445,0.9999999998333333,0.16666666663888885,218.25,305.75,153.0,394.3661971830986,4.145892752014863,1778.0,0.025360107421875,2922.0,19.098037967448498,2.3079327838846013
44b6_18ced818,Method 2: Mild Bg-Sub,4,0.99999999975,0.99999999975,0.0,992.75,1134.25,891.0,552.2609340252038,2.4607932440320797,2188.0,0.000732421875,3155.0,3.5409651678904024,0.4855646320823449
44b6_1d530831,Method 2: Mild Bg-Sub,10,0.89999999991,0.9999999999,0.09999999998999998,414.25,519.0,397.0,403.2616753150482,3.665113879701496,1826.0,0.014364242553710938,3861.0,9.725440561072027,0.8423591612982186
44b6_24264f12,Method 2: Mild Bg-Sub,9,0.9999999998888889,0.9999999998888889,0.0,300.5,339.0,218.0,203.8547071905115,6.887257843966879,1587.0,0.05662345886230469,2906.0,13.330274617877311,1.0431453681290828
44b6_267148e4,Method 1: Standard Bg-Sub,10,0.89999999991,0.9999999999,0.09999999998999998,240.0,437.25,84.0,172.7205337286879,7.58450599864813,1373.0,0.11730384826660156,2346.0,27.928568103741892,3.1628871967079975
44b6_2a2eff9f,Method 2: Mild Bg-Sub,9,0.9999999998888889,0.9999999998888889,0.0,655.5,745.5,516.0,287.6204595997035,2.463541628265017,1182.5650000000023,0.0007495880126953125,1721.0,3.335271253192418,0.44885202765177457
44b6_2f31fc2f,Method 1: Standard Bg-Sub,4,0.7499999998125,0.99999999975,0.2499999999375,262.75,576.75,154.0,255.00370644922165,5.446979437558858,1515.0,0.0827484130859375,2177.0,14.136362718418004,2.1615036390663223
44b6_33b596bf,Method 2: Mild Bg-Sub,2,0.49999999975,0.9999999995,0.49999999975,293.0,332.5,334.0,316.53076352853964,3.10554322741504,1278.0,0.006374359130859375,2680.0,8.023951855570305,0.7570568931650491
44b6_341df25f,Method 0: Global Norm,9,0.8888888887901234,0.8888888887901234,0.0,90.5,90.5,68.0,70.4225352112676,12.013198294125843,892.0,0.11888885498046875,1678.0,24.67646695934309,2.02476471688892
44b6_3a861e03,Method 2: Mild Bg-Sub,37,0.9729729729466765,0.9729729729466765,0.0,462.5,526.0,266.0,210.5263157894737,6.307999700370014,1538.0,0.05196571350097656,4012.0,15.082706199898265,0.7648641542557238
44b6_3bb3690f,Method 2: Mild Bg-Sub,16,0.9374999999414062,0.9374999999414062,0.0,440.5,615.75,384.0,1028.1690140845071,3.243630105438666,3680.0,0.010955810546875,5261.0,13.700520476548947,2.3827959075932057
44b6_40c45f5a,Method 2: Mild Bg-Sub,8,0.999999999875,0.999999999875,0.0,409.0,486.0,427.0,728.6879169755374,3.467876859835546,2914.0,0.014627456665039062,4335.0,10.152224586598956,1.489066524608366
44b6_415c0a3a,Method 2: Mild Bg-Sub,16,0.8749999999453125,0.9999999999375,0.12499999999218747,623.5,715.5,479.0,386.21200889547816,2.7938022309243915,1527.0,0.003078460693359375,2510.0,5.240083397910577,0.6099124534236701
44b6_53f95252,Method 2: Mild Bg-Sub,4,0.99999999975,0.99999999975,0.0,476.75,580.5,867.0,771.6827279466271,2.7576099546588297,2915.0,0.0032253265380859375,6277.0,7.239907644291723,0.6376526438942169
44b6_551a5dba,Method 2: Mild Bg-Sub,10,0.89999999991,0.89999999991,0.0,831.5,973.25,1184.0,979.9851742031134,2.488813136479509,3585.0,0.0008602142333984375,6800.0,5.743243194736122,0.6427036952817466
44b6_5740d24b,Method 2: Mild Bg-Sub,7,0.8571428570204082,0.9999999998571428,0.14285714283673467,215.75,416.75,282.0,750.1853224610823,2.119476256332278,1872.0,0.0,2622.0,9.297872010713759,1.8882094991991314
44b6_587a1e22,Method 1: Standard Bg-Sub,14,0.9999999999285715,0.9999999999285715,0.0,217.75,268.5,87.0,143.81022979985175,6.619834591229027,1019.0,0.06779670715332031,1974.0,22.68965256440775,1.9434535105629944
44b6_5f15d135,Method 2: Mild Bg-Sub,12,0.9166666665902777,0.8333333332638889,-0.08333333332638881,382.5,577.0,821.0,755.3743513713862,2.033428824896021,2281.0,9.5367431640625e-06,3278.0,3.992691790588407,0.709975574316109
44b6_668e0cc7,Method 0: Global Norm,23,0.9999999999565218,0.9999999999565218,0.0,377.75,377.75,21.0,48.92512972572276,28.45163054829551,1411.0,0.1767597198486328,2352.0,111.99994666669207,11.856221683979259
44b6_66f9292d,Method 2: Mild Bg-Sub,8,0.874999999890625,0.999999999875,0.12499999998437494,639.25,776.25,699.0,500.37064492216456,2.3042918058001534,1799.0,0.0011501312255859375,2853.0,4.081545005986481,0.5356849517371163
44b6_706092f0,Method 2: Mild Bg-Sub,5,0.9999999998,0.9999999998,0.0,1021.5,1207.25,742.0,315.7894736842105,4.575833188431949,2057.0,0.033435821533203125,4440.0,5.983827412616882,0.4229100008415305
44b6_71a4179f,Method 2: Mild Bg-Sub,5,0.79999999984,0.9999999998,0.19999999995999995,925.5,1087.0,715.0,420.3113417346182,3.4284108531759045,2084.0,0.01094818115234375,3847.0,5.380419505168958,0.5181375924583029
