dataset,prev_id,curr_id,next_id,edge_type,speed_prev_um,speed_curr_um,cos_similarity,speed_ratio,accel_norm_um
44b6_0113de3b,11000000075,12000000075,13000000075,GT_True_Edge,2.1877232,1.4647552,0.97854954,0.669531,0.8125
44b6_0113de3b,38000000003,39000000003,40000000003,GT_True_Edge,3.7233427,3.4471455,0.9772545,0.9258176,0.8125
44b6_0113de3b,39000000003,40000000003,41000000003,GT_True_Edge,3.4471455,4.082762,0.91467685,1.1843858,1.6750116
44b6_0113de3b,40000000003,41000000003,42000000003,GT_True_Edge,4.082762,3.8540258,0.97544104,0.9439729,0.9084026
44b6_0113de3b,41000000003,42000000003,43000000003,GT_True_Edge,3.8540258,4.614113,0.8816729,1.1972159,2.1877232
44b6_0113de3b,42000000003,43000000003,44000000003,GT_True_Edge,4.614113,2.7252078,0.39374962,0.59062314,4.337563
44b6_0113de3b,43000000003,44000000003,45000000003,GT_True_Edge,2.7252078,3.8540258,0.42426404,1.4142084,3.65625
44b6_0113de3b,44000000003,45000000003,46000000003,GT_True_Edge,3.8540258,2.0714767,0.99227774,0.53748244,1.8168052
44b6_0113de3b,45000000003,46000000003,47000000003,GT_True_Edge,2.0714767,2.1877232,0.473432,1.0561125,2.1877232
44b6_0113de3b,46000000003,47000000003,48000000003,GT_True_Edge,2.1877232,2.3337286,0.35557944,1.0667336,2.5693505
44b6_0113de3b,47000000003,48000000003,49000000003,GT_True_Edge,2.3337286,0.40625,-0.17407748,0.17407691,2.4375
44b6_0113de3b,48000000003,49000000003,50000000003,GT_True_Edge,0.40625,4.0625,-0.59999967,9.999754,4.3184967
44b6_0113de3b,49000000003,50000000003,51000000003,GT_True_Edge,4.0625,2.1877232,0.9284766,0.53851515,2.1877232
44b6_0113de3b,50000000003,51000000003,52000000003,GT_True_Edge,2.1877232,1.6750116,0.49541497,0.765638,1.9902104
44b6_0113de3b,51000000003,52000000003,53000000003,GT_True_Edge,1.6750116,3.65625,0.40422598,2.1828077,3.3500233
44b6_0113de3b,52000000003,53000000003,54000000003,GT_True_Edge,3.65625,2.0714767,0.93699914,0.56655616,1.8616713
44b6_0113de3b,53000000003,54000000003,55000000003,GT_True_Edge,2.0714767,3.3745658,0.7318978,1.629055,2.3337286
44b6_0113de3b,54000000003,55000000003,56000000003,GT_True_Edge,3.3745658,3.4946947,0.9936145,1.0355953,0.40625
44b6_0113de3b,55000000003,56000000003,57000000003,GT_True_Edge,3.4946947,6.724634,0.9129608,1.9242353,3.810963
44b6_0113de3b,56000000003,57000000003,58000000003,GT_True_Edge,6.724634,6.4105167,0.96094555,0.9532871,1.8616713
44b6_0113de3b,57000000003,58000000003,59000000003,GT_True_Edge,6.4105167,6.147678,-0.594663,0.9589973,11.214266
44b6_0113de3b,58000000003,59000000003,60000000003,GT_True_Edge,6.147678,3.4946947,0.06913674,0.56845677,6.8582892
44b6_0113de3b,59000000003,60000000003,61000000003,GT_True_Edge,3.4946947,4.082762,-0.034701213,1.1682708,5.4655347
44b6_0113de3b,60000000003,61000000003,62000000003,GT_True_Edge,4.082762,7.814375,-0.9569961,1.9139876,11.78125
44b6_0113de3b,61000000003,62000000003,63000000003,GT_True_Edge,7.814375,3.9177332,0.12398966,0.5013489,8.295859
44b6_0113de3b,62000000003,63000000003,64000000003,GT_True_Edge,3.9177332,2.3337286,0.9747545,0.59568185,1.7235727
