dataset,total_gt,base_tp,base_fp,base_fn,base_recall,base_precision,base_f1,new_tp,new_fp,new_fn,new_recall,new_precision,new_f1,tp_gain,recall_gain,status,interp_nodes_count
44b6_0113de3b,50,47,21997,3,0.94,0.0021,0.0043,48,27112,2,0.96,0.0018,0.0035,1,0.02,WIN,310
44b6_0b24845f,49,24,27930,25,0.4898,0.0009,0.0017,33,34789,16,0.6735,0.0009,0.0019,9,0.1837,WIN,1475
44b6_0c582fdc,70,49,23701,21,0.7,0.0021,0.0041,54,29184,16,0.7714,0.0018,0.0037,5,0.0714,WIN,922
44b6_0db75fae,151,125,13177,26,0.8278,0.0094,0.0186,131,15913,20,0.8675,0.0082,0.0162,6,0.0397,WIN,435
44b6_12dfb391,773,449,38449,324,0.5809,0.0115,0.0226,667,64321,106,0.8629,0.0103,0.0203,218,0.282,WIN,1781
44b6_144b256d,119,94,53149,25,0.7899,0.0018,0.0035,98,74249,21,0.8235,0.0013,0.0026,4,0.0336,WIN,2272
44b6_1574802b,153,123,13898,30,0.8039,0.0088,0.0174,130,17790,23,0.8497,0.0073,0.0144,7,0.0458,WIN,456
44b6_18ced818,99,62,54457,37,0.6263,0.0011,0.0023,81,89392,18,0.8182,0.0009,0.0018,19,0.1919,WIN,4576
44b6_1d530831,271,186,28218,85,0.6863,0.0065,0.013,221,38606,50,0.8155,0.0057,0.0113,35,0.1292,WIN,1150
44b6_24264f12,221,175,22373,46,0.7919,0.0078,0.0154,195,26885,26,0.8824,0.0072,0.0143,20,0.0905,WIN,599
44b6_267148e4,277,152,17473,125,0.5487,0.0086,0.017,179,20519,98,0.6462,0.0086,0.0171,27,0.0975,WIN,801
44b6_2a2eff9f,210,162,45601,48,0.7714,0.0035,0.007,189,58272,21,0.9,0.0032,0.0064,27,0.1286,WIN,1946
44b6_2f31fc2f,85,40,20267,45,0.4706,0.002,0.0039,43,23134,42,0.5059,0.0019,0.0037,3,0.0353,WIN,1050
44b6_33b596bf,49,39,19314,10,0.7959,0.002,0.004,40,23631,9,0.8163,0.0017,0.0034,1,0.0204,WIN,648
44b6_341df25f,209,192,6632,17,0.9187,0.0281,0.0546,194,7232,15,0.9282,0.0261,0.0508,2,0.0096,WIN,65
44b6_3a861e03,919,618,27674,301,0.6725,0.0218,0.0423,802,41608,117,0.8727,0.0189,0.037,184,0.2002,WIN,894
44b6_3bb3690f,396,209,26781,187,0.5278,0.0077,0.0153,297,39139,99,0.75,0.0075,0.0149,88,0.2222,WIN,2020
44b6_40c45f5a,198,138,26053,60,0.697,0.0053,0.0105,156,37577,42,0.7879,0.0041,0.0082,18,0.0909,WIN,1519
44b6_415c0a3a,322,205,47217,117,0.6366,0.0043,0.0086,221,58134,101,0.6863,0.0038,0.0075,16,0.0497,WIN,1605
44b6_53f95252,68,56,30605,12,0.8235,0.0018,0.0036,64,42122,4,0.9412,0.0015,0.003,8,0.1176,WIN,1478
44b6_551a5dba,224,89,43038,135,0.3973,0.0021,0.0041,168,73393,56,0.75,0.0023,0.0046,79,0.3527,WIN,3575
44b6_5740d24b,170,153,15004,17,0.9,0.0101,0.02,158,16538,12,0.9294,0.0095,0.0187,5,0.0294,WIN,606
44b6_587a1e22,371,303,16016,68,0.8167,0.0186,0.0363,331,18264,40,0.8922,0.0178,0.0349,28,0.0755,WIN,326
44b6_5f15d135,273,164,24294,109,0.6007,0.0067,0.0133,192,33292,81,0.7033,0.0057,0.0114,28,0.1026,WIN,1082
44b6_668e0cc7,631,513,33665,118,0.813,0.015,0.0295,549,38054,82,0.87,0.0142,0.028,36,0.0571,WIN,865
44b6_66f9292d,198,113,40102,85,0.5707,0.0028,0.0056,126,57447,72,0.6364,0.0022,0.0044,13,0.0657,WIN,1735
44b6_706092f0,117,73,51307,44,0.6239,0.0014,0.0028,94,89095,23,0.8034,0.0011,0.0021,21,0.1795,WIN,3948
44b6_71a4179f,119,80,52128,39,0.6723,0.0015,0.0031,91,80519,28,0.7647,0.0011,0.0023,11,0.0924,WIN,3284
44b6_74d0c52e,139,90,12479,49,0.6475,0.0072,0.0142,98,13448,41,0.705,0.0072,0.0143,8,0.0576,WIN,409
44b6_7a302da0,507,313,51666,194,0.6174,0.006,0.0119,417,76458,90,0.8225,0.0054,0.0108,104,0.2051,WIN,2866
44b6_7e557709,560,413,42057,147,0.7375,0.0097,0.0192,490,60212,70,0.875,0.0081,0.016,77,0.1375,WIN,1224
44b6_808952d6,179,179,14523,0,1.0,0.0122,0.0241,179,15904,0,1.0,0.0111,0.022,0,0.0,DRAW,220
44b6_81c256f0,197,197,9433,0,1.0,0.0205,0.0401,197,10285,0,1.0,0.0188,0.0369,0,0.0,DRAW,92
44b6_87bba6c4,149,86,24814,63,0.5772,0.0035,0.0069,89,28208,60,0.5973,0.0031,0.0063,3,0.0201,WIN,1112
44b6_8cc6506c,396,249,27406,147,0.6288,0.009,0.0178,310,37339,86,0.7828,0.0082,0.0163,61,0.154,WIN,1756
44b6_8f5ab931,604,424,22312,180,0.702,0.0186,0.0363,469,27657,135,0.7765,0.0167,0.0326,45,0.0745,WIN,862
44b6_8f9ecab4,370,250,60441,120,0.6757,0.0041,0.0082,322,84961,48,0.8703,0.0038,0.0075,72,0.1946,WIN,2544
44b6_90724892,103,84,20467,19,0.8155,0.0041,0.0081,93,26045,10,0.9029,0.0036,0.0071,9,0.0874,WIN,693
44b6_949adeb1,378,244,30368,134,0.6455,0.008,0.0157,272,39489,106,0.7196,0.0068,0.0136,28,0.0741,WIN,1305
44b6_95029e92,198,196,4258,2,0.9899,0.044,0.0843,198,5232,0,1.0,0.0365,0.0704,2,0.0101,WIN,49
44b6_97725144,221,141,29921,80,0.638,0.0047,0.0093,167,42307,54,0.7557,0.0039,0.0078,26,0.1176,WIN,1416
44b6_996155de,377,320,8120,57,0.8488,0.0379,0.0726,351,9229,26,0.931,0.0366,0.0705,31,0.0822,WIN,133
44b6_9be80b04,220,93,44684,127,0.4227,0.0021,0.0041,162,79381,58,0.7364,0.002,0.0041,69,0.3136,WIN,4084
44b6_9bfa6a0a,259,139,47865,120,0.5367,0.0029,0.0058,184,73263,75,0.7104,0.0025,0.005,45,0.1737,WIN,2202
44b6_a21120c2,286,244,19858,42,0.8531,0.0121,0.0239,262,22369,24,0.9161,0.0116,0.0229,18,0.0629,WIN,292
44b6_a2bb48bb,410,200,49159,210,0.4878,0.0041,0.008,284,69662,126,0.6927,0.0041,0.0081,84,0.2049,WIN,3399
44b6_aaf8b0ea,206,203,18878,3,0.9854,0.0106,0.0211,203,20295,3,0.9854,0.0099,0.0196,0,0.0,DRAW,477
44b6_abf82518,94,93,22784,1,0.9894,0.0041,0.0081,93,27369,1,0.9894,0.0034,0.0067,0,0.0,DRAW,733
44b6_b2c44266,168,118,45719,50,0.7024,0.0026,0.0051,133,69093,35,0.7917,0.0019,0.0038,15,0.0893,WIN,2558
44b6_c15fded2,102,72,16532,30,0.7059,0.0043,0.0086,86,20058,16,0.8431,0.0043,0.0085,14,0.1373,WIN,498
44b6_c50204e0,325,160,40012,165,0.4923,0.004,0.0079,210,50369,115,0.6462,0.0042,0.0083,50,0.1538,WIN,2269
44b6_c771cb04,223,133,42769,90,0.5964,0.0031,0.0062,170,58579,53,0.7623,0.0029,0.0058,37,0.1659,WIN,2363
44b6_c8e2a523,164,134,23849,30,0.8171,0.0056,0.0111,151,34537,13,0.9207,0.0044,0.0087,17,0.1037,WIN,541
44b6_c96cfa10,616,451,34209,165,0.7321,0.013,0.0256,525,48287,91,0.8523,0.0108,0.0212,74,0.1201,WIN,1231
44b6_cf2536e8,75,38,46311,37,0.5067,0.0008,0.0016,43,62498,32,0.5733,0.0007,0.0014,5,0.0667,WIN,2141
44b6_cf8fed6b,188,161,36941,27,0.8564,0.0043,0.0086,179,44214,9,0.9521,0.004,0.008,18,0.0957,WIN,1339
44b6_d29c9ab2,1328,981,30260,347,0.7387,0.0314,0.0602,1180,39578,148,0.8886,0.029,0.0561,199,0.1498,WIN,774
44b6_d2f34f90,281,171,20462,110,0.6085,0.0083,0.0164,225,25304,56,0.8007,0.0088,0.0174,54,0.1922,WIN,1042
44b6_d5e7d891,893,465,35565,428,0.5207,0.0129,0.0252,618,48532,275,0.692,0.0126,0.0247,153,0.1713,WIN,1917
44b6_d754aa59,70,60,4925,10,0.8571,0.012,0.0237,62,6206,8,0.8857,0.0099,0.0196,2,0.0286,WIN,119
44b6_d78e09d9,451,346,18934,105,0.7672,0.0179,0.0351,372,22494,79,0.8248,0.0163,0.0319,26,0.0576,WIN,484
44b6_db3c847b,162,119,13186,43,0.7346,0.0089,0.0177,132,15314,30,0.8148,0.0085,0.0169,13,0.0802,WIN,357
44b6_ddf577ad,647,400,42972,247,0.6182,0.0092,0.0182,525,59053,122,0.8114,0.0088,0.0174,125,0.1932,WIN,1794
44b6_deabac95,124,91,12333,33,0.7339,0.0073,0.0145,93,13831,31,0.75,0.0067,0.0132,2,0.0161,WIN,276
44b6_e28840c6,309,185,58691,124,0.5987,0.0031,0.0063,275,88478,34,0.89,0.0031,0.0062,90,0.2913,WIN,3101
44b6_e29f0176,50,20,10609,30,0.4,0.0019,0.0037,22,11929,28,0.44,0.0018,0.0037,2,0.04,WIN,458
44b6_e31261b4,113,81,52485,32,0.7168,0.0015,0.0031,103,76480,10,0.9115,0.0013,0.0027,22,0.1947,WIN,2855
44b6_e35b117d,266,130,22858,136,0.4887,0.0057,0.0112,167,34592,99,0.6278,0.0048,0.0095,37,0.1391,WIN,1280
44b6_e57ff5c6,186,101,16087,85,0.543,0.0062,0.0123,111,18827,75,0.5968,0.0059,0.0116,10,0.0538,WIN,906
44b6_eb2880fc,379,285,38930,94,0.752,0.0073,0.0144,319,45944,60,0.8417,0.0069,0.0137,34,0.0897,WIN,1173
44b6_f28707c6,61,36,17099,25,0.5902,0.0021,0.0042,36,19814,25,0.5902,0.0018,0.0036,0,0.0,DRAW,537
6bba_05b6850b,845,678,5050,167,0.8024,0.1184,0.2063,715,6428,130,0.8462,0.1001,0.179,37,0.0438,WIN,123
6bba_05db0fb1,1183,752,48471,431,0.6357,0.0153,0.0298,1015,75203,168,0.858,0.0133,0.0262,263,0.2223,WIN,1833
6bba_062c8d37,898,690,4083,208,0.7684,0.1446,0.2433,757,5191,141,0.843,0.1273,0.2212,67,0.0746,WIN,123
6bba_07477033,602,495,3953,107,0.8223,0.1113,0.196,527,4642,75,0.8754,0.102,0.1826,32,0.0532,WIN,83
6bba_07e24132,345,237,23551,108,0.687,0.01,0.0196,270,34885,75,0.7826,0.0077,0.0152,33,0.0957,WIN,998
6bba_085bf656,1168,918,6542,250,0.786,0.1231,0.2128,992,7474,176,0.8493,0.1172,0.2059,74,0.0634,WIN,56
6bba_09961292,1871,1177,22207,694,0.6291,0.0503,0.0932,1659,34375,212,0.8867,0.046,0.0875,482,0.2576,WIN,1110
6bba_0c7fa718,659,412,9910,247,0.6252,0.0399,0.075,470,12983,189,0.7132,0.0349,0.0666,58,0.088,WIN,558
6bba_0e7c0d07,198,135,17681,63,0.6818,0.0076,0.015,142,23239,56,0.7172,0.0061,0.012,7,0.0354,WIN,1056
6bba_12665c0e,998,859,6144,139,0.8607,0.1227,0.2147,883,6884,115,0.8848,0.1137,0.2015,24,0.024,WIN,99
6bba_13f19531,704,617,4710,87,0.8764,0.1158,0.2046,624,5108,80,0.8864,0.1089,0.1939,7,0.0099,WIN,49
6bba_15403b9a,729,496,5106,233,0.6804,0.0885,0.1567,554,5850,175,0.7599,0.0865,0.1553,58,0.0796,WIN,78
6bba_1d0d8384,1365,893,15691,472,0.6542,0.0538,0.0995,1046,18511,319,0.7663,0.0535,0.1,153,0.1121,WIN,484
6bba_1ebfb80d,719,513,9328,206,0.7135,0.0521,0.0972,555,11186,164,0.7719,0.0473,0.0891,42,0.0584,WIN,254
6bba_1f58c2f6,299,200,21573,99,0.6689,0.0092,0.0181,232,31998,67,0.7759,0.0072,0.0143,32,0.107,WIN,1065
6bba_207c6aaf,450,211,9510,239,0.4689,0.0217,0.0415,248,12291,202,0.5511,0.0198,0.0382,37,0.0822,WIN,585
6bba_20852818,909,670,7147,239,0.7371,0.0857,0.1536,752,9204,157,0.8273,0.0755,0.1384,82,0.0902,WIN,144
6bba_2312ac41,1132,1017,9841,115,0.8984,0.0937,0.1696,1036,10432,96,0.9152,0.0903,0.1644,19,0.0168,WIN,148
6bba_23af9eeb,499,427,4000,72,0.8557,0.0965,0.1734,432,4341,67,0.8657,0.0905,0.1639,5,0.01,WIN,57
6bba_2540cd90,523,289,2641,234,0.5526,0.0986,0.1674,399,3723,124,0.7629,0.0968,0.1718,110,0.2103,WIN,42
6bba_2646afc7,721,471,4419,250,0.6533,0.0963,0.1679,520,5324,201,0.7212,0.089,0.1584,49,0.068,WIN,65
6bba_268e1230,609,392,3645,217,0.6437,0.0971,0.1687,426,4305,183,0.6995,0.09,0.1596,34,0.0558,WIN,84
6bba_2819ca14,949,698,3867,251,0.7355,0.1529,0.2532,775,4562,174,0.8166,0.1452,0.2466,77,0.0811,WIN,57
6bba_283bf9f1,1288,1001,16998,287,0.7772,0.0556,0.1038,1045,18112,243,0.8113,0.0545,0.1022,44,0.0342,WIN,398
6bba_312f0dc3,500,345,7947,155,0.69,0.0416,0.0785,373,8834,127,0.746,0.0405,0.0769,28,0.056,WIN,173
6bba_32db13fc,811,475,31078,336,0.5857,0.0151,0.0294,557,40769,254,0.6868,0.0135,0.0264,82,0.1011,WIN,1729
6bba_337b1b3a,1213,1047,25121,166,0.8631,0.04,0.0765,1116,28682,97,0.92,0.0375,0.072,69,0.0569,WIN,366
6bba_372c8cb8,1007,880,5420,127,0.8739,0.1397,0.2409,903,6691,104,0.8967,0.1189,0.21,23,0.0228,WIN,87
6bba_3a1849c2,1142,762,5110,380,0.6673,0.1298,0.2173,805,6447,337,0.7049,0.111,0.1918,43,0.0377,WIN,112
6bba_3abfe10a,935,566,39073,369,0.6053,0.0143,0.0279,740,55635,195,0.7914,0.0131,0.0258,174,0.1861,WIN,1938
6bba_3c5691b6,746,650,5377,96,0.8713,0.1078,0.1919,661,6039,85,0.8861,0.0987,0.1775,11,0.0147,WIN,72
6bba_3db54e20,474,298,18558,176,0.6287,0.0158,0.0308,314,21225,160,0.6624,0.0146,0.0285,16,0.0338,WIN,652
6bba_3fda6b25,1179,1059,7455,120,0.8982,0.1244,0.2185,1092,8153,87,0.9262,0.1181,0.2095,33,0.028,WIN,143
6bba_43fea39d,880,746,4165,134,0.8477,0.1519,0.2576,779,4791,101,0.8852,0.1399,0.2416,33,0.0375,WIN,98
6bba_474be664,286,51,23725,235,0.1783,0.0021,0.0042,81,30739,205,0.2832,0.0026,0.0052,30,0.1049,WIN,998
6bba_48816121,918,735,20534,183,0.8007,0.0346,0.0663,779,22411,139,0.8486,0.0336,0.0646,44,0.0479,WIN,423
6bba_4aa14c89,681,593,5353,88,0.8708,0.0997,0.179,601,5749,80,0.8825,0.0946,0.171,8,0.0117,WIN,85
6bba_4f99ce20,1010,834,3863,176,0.8257,0.1776,0.2923,879,4776,131,0.8703,0.1554,0.2638,45,0.0446,WIN,95
6bba_4ffd3da3,689,400,14920,289,0.5806,0.0261,0.05,423,16371,266,0.6139,0.0252,0.0484,23,0.0334,WIN,468
6bba_55b7eebe,688,588,3886,100,0.8547,0.1314,0.2278,627,4538,61,0.9113,0.1214,0.2142,39,0.0567,WIN,56
