dataset,current_recall,new_recall,recall_diff,bg_median,bg_noise,snr_proxy,dyn_range,fg_ratio,vol_min,vol_max,vol_mean,vol_std,max_to_med,p995_to_med,p75_to_p25,skewness_proxy,border_ratio,bg_gradient_std
44b6_0b24845f,0.49999999975,0.9999999995,0.49999999975,1007.0,525.574499629355,1.868431558243806,1903.0,0.0,33.0,2691.0,957.2044067382812,467.759521484375,2.672293915865999,1.9751737639009557,2.197635098012921,0.7278820277763803,0.6185007,0.4383429111564445
44b6_267148e4,0.89999999991,0.9999999999,0.0999999999899999,84.0,172.7205337286879,7.58450599864813,1373.0,0.11730384826660156,6.0,2346.0,223.69454956054688,293.8964538574219,27.928568103741892,16.595236119614746,6.824998293750426,10.85184984225003,0.6448528,3.1628871967079975
44b6_2f31fc2f,0.7499999998125,0.99999999975,0.2499999999375,154.0,255.00370644922165,5.446979437558858,1515.0,0.0827484130859375,9.0,2177.0,306.2896728515625,346.82568359375,14.136362718418004,10.019479868864943,6.374999003906406,6.035713746811273,1.3065805,2.1615036390663223
44b6_33b596bf,0.49999999975,0.9999999995,0.49999999975,334.0,316.53076352853964,3.10554322741504,1278.0,0.006374359130859375,15.0,2680.0,377.4090270996094,285.03070068359375,8.023951855570305,3.943113654397795,4.649572252173312,1.62222216213992,1.0320303,0.7570568931650491
44b6_3bb3690f,0.9374999999414062,0.9999999999375,0.0624999999960937,384.0,1028.1690140845071,3.243630105438666,3680.0,0.010955810546875,12.0,5261.0,862.1611938476562,959.4373168945312,13.700520476548947,9.684895581122511,17.511902677154442,6.095091837573871,1.0026578,2.3827959075932057
44b6_415c0a3a,0.8749999999453125,0.9999999999375,0.1249999999921874,479.0,386.21200889547816,2.7938022309243915,1527.0,0.003078460693359375,5.0,2510.0,483.1163330078125,338.8009033203125,5.240083397910577,3.2526095354361266,4.082839995098225,1.1240694510156464,0.62163955,0.6099124534236701
44b6_5f15d135,0.9166666665902776,0.9166666665902776,0.0,821.0,755.3743513713862,2.033428824896021,2281.0,9.5367431640625e-06,27.0,3278.0,896.9849853515625,607.0480346679688,3.992691790588407,2.8708891245933117,4.069276985865152,1.4753086192082003,0.7167008,0.709975574316109
44b6_66f9292d,0.874999999890625,0.999999999875,0.1249999999843749,699.0,500.37064492216456,2.3042918058001534,1799.0,0.0011501312255859375,16.0,2853.0,665.5299072265625,413.8850402832031,4.081545005986481,2.6494992467882796,3.5568180470902258,0.8120805232872396,0.8381809,0.5356849517371163
44b6_74d0c52e,0.9999999998,0.9999999998,0.0,214.0,553.0022238695329,4.475569624161617,2689.0,0.07930946350097656,0.0,3335.0,546.47265625,687.91357421875,15.584111421303204,12.565419973578505,15.34615089497098,6.775700617957915,1.1480703,3.114181515637692
44b6_87bba6c4,0.74999999990625,0.999999999875,0.24999999996875,92.0,156.412157153447,7.429089572424558,1230.0,0.1111602783203125,5.0,2151.0,214.290283203125,261.4231262207031,23.380432241257363,13.630433301039858,5.219998956000208,9.107141230867636,1.2356824,2.670036523265816
