dataset,total_gt,tp_baseline,tp_3stage,tp_gain,rec_baseline,rec_3stage,rec_diff,fp_baseline,fp_3stage
44b6_0113de3b,50,47,48,1,0.9399999812000004,0.9599999808000005,0.019999999600000096,21997,27537
44b6_0b24845f,49,24,33,9,0.4897959083715121,0.6734693740108292,0.18367346563931708,27930,35310
44b6_0c582fdc,70,49,52,3,0.6999999900000001,0.7428571322448981,0.042857142244898006,23701,29668
44b6_0db75fae,151,125,132,7,0.8278145640542082,0.8741721796412438,0.04635761558703566,13177,16185
44b6_12dfb391,773,449,657,208,0.5808538155487014,0.8499353158474316,0.26908150029873024,38449,65602
44b6_144b256d,119,94,98,4,0.7899159597486054,0.8235294048442907,0.03361344509568531,53149,76215
44b6_1574802b,153,123,128,5,0.8039215633730616,0.8366013017215601,0.032679738348498466,13898,17975
44b6_18ced818,99,62,78,16,0.6262626199367413,0.7878787799204164,0.16161615998367518,54457,92660
44b6_1d530831,271,186,219,33,0.6863468609359894,0.8081180781988263,0.1217712172628369,28218,39188
44b6_24264f12,221,175,191,16,0.7918552000368543,0.8642533897545096,0.07239818971765533,22373,27292
44b6_267148e4,277,152,176,24,0.5487364601128648,0.6353790590780539,0.08664259896518911,17473,20924
44b6_2a2eff9f,210,162,187,25,0.771428567755102,0.8904761862358277,0.11904761848072565,45601,59537
44b6_2f31fc2f,85,40,42,2,0.4705882297577855,0.4941176412456748,0.023529411487889285,20267,23464
44b6_33b596bf,49,39,40,1,0.7959183511037071,0.8163265139525202,0.020408162848813083,19314,24137
44b6_341df25f,209,192,195,3,0.918660282685836,0.9330143496028022,0.014354066916966168,6632,7268
44b6_3a861e03,919,618,795,177,0.6724700754380086,0.8650707281120014,0.19260065267399273,27674,42162
44b6_3bb3690f,396,209,296,87,0.5277777764450056,0.747474745587185,0.2196969691421794,26781,40300
44b6_40c45f5a,198,138,154,16,0.696969693449648,0.7777777738496072,0.08080808039995924,26053,38404
44b6_415c0a3a,322,205,222,17,0.6366459607557579,0.6894409916476988,0.05279503089194093,47217,59263
44b6_53f95252,68,56,63,7,0.8235293996539794,0.9264705746107269,0.10294117495674748,30605,42830
44b6_551a5dba,224,89,147,58,0.3973214267976722,0.6562499970703125,0.2589285702726403,43038,75535
44b6_5740d24b,170,153,158,5,0.8999999947058824,0.9294117592387544,0.029411764532871976,15004,16809
44b6_587a1e22,371,303,331,28,0.816711588095117,0.8921832860048968,0.07547169790977981,16016,18650
44b6_5f15d135,273,164,194,30,0.600732598532115,0.7106227080196971,0.10989010948758204,24294,33732
44b6_668e0cc7,631,513,546,33,0.8129952443534149,0.8652931840486637,0.052297939695248874,33665,38717
44b6_66f9292d,198,113,133,20,0.5707070678247118,0.6717171683246608,0.10101010049994896,40102,59263
