dataset,t,source_id,target_id,source_is_tp,target_is_tp,spatial_dist,spatial_dist_xy,delta_z_scaled,delta_y_scaled,delta_x_scaled,abs_delta_z,spatial_rank,spatial_margin,int_diff,int_ratio,snr_diff,snr_ratio,snr_min,radius_diff,radius_ratio,volume_diff,volume_ratio,z_depth_diff,density_source,density_target,density_diff,mahalanobis_dist,total_cost_4d,label
44b6_0113de3b,0,0,289,False,False,1.8168052317185792,1.8168052317185792,0.0,0.8125,1.625,0.0,1,0.0,0.06623100000000015,1.050954317166675,0.18411500000000025,0.9666107958517416,5.330382,0.004671800000000115,1.0021835001988748,0.2681869999999975,1.0065786639702132,0.0,0,2,2,0.3518318510792648,2.168637082797844,0
44b6_0113de3b,0,0,302,False,False,2.6012692214570947,2.6012692214570947,0.0,-2.03125,1.625,0.0,2,0.7844639897385155,0.4067402000000001,1.424072253126584,2.8093127,2.114325400236319,2.5210693,0.08237819999999996,1.0400369220718746,4.559204000000001,1.1249996881309607,0.0,0,2,2,1.9557392325356378,4.557008453992733,0
44b6_0113de3b,0,0,295,False,False,3.7454399357752353,3.7454399357752353,0.0,2.84375,2.4375,0.0,3,1.928634704056656,0.32715150000000004,1.314954463034659,2.3257812,1.7740673767131503,3.0046008,0.028343500000000077,1.0134196721542856,1.6091309999999979,1.0408160661465802,0.0,0,2,2,1.6099565993835085,5.355396535158744,0
44b6_0113de3b,0,1,288,False,False,1.8168052317185792,1.8168052317185792,0.0,1.625,0.8125,0.0,1,0.0,0.07864920000000009,0.9386151097018298,0.7838721,1.13306375148295,5.8908663,0.0,0.999995316186454,0.0,0.9999997546894785,0.0,0,0,0,0.7439748009343806,2.5607800326529597,0
44b6_0113de3b,0,2,418,False,False,3.6787502123683256,3.6787502123683256,0.0,3.65625,0.40625,0.0,1,0.0,0.17595117000000005,1.3402168946595219,4.2812187,1.586868483837839,7.2949953,0.025049200000000216,0.9897911319502876,1.8773180000000025,0.9696968346941064,0.0,0,1,1,2.7829160495753977,6.461666261943723,0
44b6_0113de3b,0,2,462,False,False,6.512682938889317,6.3066959703556345,-1.625,1.625,-6.09375,1.625,2,2.8339327265209917,0.1996325,1.404534039850623,6.436956,2.2525024964644773,5.139258,0.0,0.9999958840978416,0.0,0.9999998335392729,0.015873020000000015,0,0,0,4.16684347305075,10.679526411940067,0
44b6_0113de3b,0,3,306,False,False,1.6750116604071745,1.6750116604071745,0.0,0.40625,1.625,0.0,1,0.0,0.2504854999999999,1.3293959759787009,0.9190028000000003,1.2839712983417801,3.2362072,0.10323359999999981,1.0508045462429274,5.6319600000000065,1.1603050719130612,0.0,2,1,1,1.055888329427876,2.7308999898350503,0
44b6_0113de3b,0,3,421,False,False,3.8540258983302125,3.8540258983302125,0.0,-3.65625,1.21875,0.0,2,2.179014237923038,0.4296838999999999,1.7392746616068784,2.7360288000000006,2.927871875192011,1.4191812,0.30321849999999984,1.1655254447566399,15.018556000000004,1.5833327636678545,0.0,2,1,1,3.0205192306131554,6.8745451289433674,0
44b6_0113de3b,0,5,296,False,False,1.4647552056572457,1.4647552056572457,0.0,0.8125,1.21875,0.0,1,0.0,0.07592390000000004,1.055855674762,1.4567955000000001,1.2419597975343706,6.020765,0.0033118999999999232,1.0013015623202142,0.26819000000000415,1.0039214441934097,0.0,1,1,0,0.9170249333419883,2.381780138999234,0
44b6_0113de3b,0,6,368,False,False,2.03125,2.03125,0.0,2.03125,0.0,0.0,1,0.0,0.17825900000000006,1.178742095819738,1.2098640000000005,1.2986209943551357,4.05146,0.0,0.999995326413122,0.0,0.999999756292806,0.0,3,2,1,0.8695747851608495,2.9008247851608493,0
