dataset,total_gt_edges,total_pred_edges,tp,fp,fn,precision,recall,f1_score,official_edge_tp,official_edge_fp,official_edge_fn,current_recall,hybrid_recall,chosen_method,snr_proxy,bg_median,branch_parents,branch_edges,branch_edge_ratio,edge_recall,edge_precision,edge_f1,node_edge_gap,mean_cells_per_frame,max_cells_per_frame,primary_bottleneck
6bba_6feb10f0,1343,6974,146,6828,1197,0.0209,0.1087,0.0351,146,57,1197,0.2105263157857802,0.894736842089566,Method 2: Mild Bg-Sub,3.593770129191824,283.0,0,0,0.0,0.10871183916596522,0.7192118226565557,0.1888745146487275,0.7860250029236009,13.68,19,Severe Tracking Disconnect
6bba_474be664,286,23776,51,23725,235,0.0021,0.1783,0.0042,51,52,235,0.5833333332847223,0.7499999999375,Method 2: Mild Bg-Sub,3.347949190456097,807.0,1,2,0.007,0.17832167832105483,0.4951456310631539,0.2622107965244745,0.5716783216164452,2.92,4,Severe Tracking Disconnect
6bba_ab78413d,1138,7249,264,6985,874,0.0364,0.232,0.063,264,64,874,0.3913043478175804,0.9347826086753308,Method 1: Standard Bg-Sub,5.898960297340805,219.0,2,4,0.0035,0.23198594024584185,0.8048780487780339,0.3601637104297762,0.702796668429489,11.79,15,Severe Tracking Disconnect
6bba_c73a1d11,710,13884,260,13624,450,0.0187,0.3662,0.0356,260,88,450,0.7037037036776406,0.999999999962963,Method 1: Standard Bg-Sub,6.407749345147433,108.0,0,0,0.0,0.3661971830980758,0.7471264367794623,0.4914933833005171,0.6338028168648872,7.757894736842105,14,Severe Tracking Disconnect
44b6_2f31fc2f,85,20307,40,20267,45,0.002,0.4706,0.0039,40,34,45,0.7499999998125,0.99999999975,Method 1: Standard Bg-Sub,5.446979437558858,154.0,0,0,0.0,0.4705882352885813,0.5405405405332359,0.5031446535841144,0.5294117644614187,1.289855072463768,3,Severe Tracking Disconnect
44b6_551a5dba,224,43127,89,43038,135,0.0021,0.3973,0.0041,89,37,135,0.89999999991,0.89999999991,Method 2: Mild Bg-Sub,2.488813136479509,1184.0,0,0,0.0,0.39732142856965486,0.7063492063436004,0.5085714281077225,0.5026785713403452,2.28,4,Severe Tracking Disconnect
44b6_e29f0176,50,10629,20,10609,30,0.0019,0.4,0.0037,20,7,30,0.9999999995,0.9999999995,Method 1: Standard Bg-Sub,5.519295298627454,35.0,0,0,0.0,0.39999999999200003,0.7407407407133059,0.5194805190116377,0.5999999995079999,1.0,1,Severe Tracking Disconnect
44b6_9be80b04,220,44777,93,44684,127,0.0021,0.4227,0.0041,93,33,127,0.999999999875,0.999999999875,Method 2: Mild Bg-Sub,2.5769086340452776,1117.0,1,2,0.0091,0.42272727272535127,0.7380952380893802,0.5375722538690567,0.5772727271496487,2.22,3,Severe Tracking Disconnect
44b6_c50204e0,325,40172,160,40012,165,0.004,0.4923,0.0079,159,87,166,0.8461538460887574,0.9230769230059171,Method 2: Mild Bg-Sub,2.58772049913655,439.0,2,4,0.0123,0.4892307692292639,0.6463414634120068,0.5569176877738199,0.43384615377665325,3.33,6,Severe Tracking Disconnect
6bba_57b7cc1e,1592,56042,780,55262,812,0.0139,0.4899,0.0271,777,384,815,0.7887323943550882,0.8732394366074191,Method 2: Mild Bg-Sub,2.971934712293489,1114.0,3,6,0.0038,0.48806532663285923,0.6692506459942557,0.5644751175648779,0.38517410997455986,16.59,22,Severe Tracking Disconnect
44b6_a2bb48bb,410,49359,200,49159,210,0.0041,0.4878,0.008,201,94,209,0.9444444443919752,0.9999999999444444,Method 2: Mild Bg-Sub,1.849274892406692,1891.0,0,0,0.0,0.49024390243782867,0.6813559322010802,0.5702127654691334,0.5097560975066158,4.16,6,Severe Tracking Disconnect
6bba_55c70843,467,27043,223,26820,244,0.0082,0.4775,0.0162,223,84,244,0.7999999999466667,0.7999999999466667,Method 1: Standard Bg-Sub,11.649824835096734,144.0,0,0,0.0,0.47751605995615093,0.7263843648184809,0.5762273897007558,0.3224839399905158,5.975609756097561,12,Balanced / Moderate
6bba_207c6aaf,450,9721,211,9510,239,0.0217,0.4689,0.0415,211,66,239,0.6842105262797784,0.6842105262797784,Method 0: Global Norm,12.012519951216806,41.0,1,2,0.0044,0.4688888888878469,0.7617328519828097,0.5804676749049835,0.2153216373919315,4.75,11,Balanced / Moderate
6bba_786893ac,1395,44928,687,44241,708,0.0153,0.4925,0.0297,687,270,708,0.9374999999853516,0.9687499999848632,Method 2: Mild Bg-Sub,2.9715587450626457,1420.0,3,6,0.0043,0.49247311827921686,0.7178683385572436,0.5841836729862306,0.47627688170564636,14.65,28,Severe Tracking Disconnect
6bba_ebff6e76,1264,34402,626,33776,638,0.0182,0.4953,0.0351,624,243,640,0.8421052631431211,0.9298245613871962,Method 2: Mild Bg-Sub,3.618818946014104,795.0,0,0,0.0,0.4936708860755588,0.7197231833901734,0.5856405438621816,0.43615367531163735,13.18,27,Severe Tracking Disconnect
6bba_2540cd90,523,2930,289,2641,234,0.0986,0.5526,0.1674,290,166,233,0.999999999952381,0.999999999952381,Method 0: Global Norm,14.536982147703146,52.0,0,0,0.0,0.554493307838328,0.6359649122793071,0.5924412660997014,0.445506692114053,5.29,6,Severe Tracking Disconnect
44b6_e35b117d,266,22988,130,22858,136,0.0057,0.4887,0.0112,130,38,136,0.8181818181074381,0.9999999999090908,Method 2: Mild Bg-Sub,2.609441515106685,367.0,0,0,0.0,0.4887218045094409,0.7738095238049179,0.5990783405365584,0.5112781953996499,2.7,4,Severe Tracking Disconnect
44b6_d5e7d891,893,36030,465,35565,428,0.0129,0.5207,0.0252,465,194,428,0.9166666666412038,0.9166666666412038,Method 2: Mild Bg-Sub,3.1860954017975285,373.0,2,4,0.0045,0.520716685329764,0.7056145675254847,0.5992268036343054,0.39594998131143977,9.06,11,Severe Tracking Disconnect
44b6_9bfa6a0a,259,48004,139,47865,120,0.0029,0.5367,0.0058,139,64,120,0.9999999999230768,0.9999999999230768,Method 2: Mild Bg-Sub,3.307458848897108,548.0,0,0,0.0,0.5366795366774646,0.6847290640360358,0.601731601236343,0.46332046324561216,2.64,5,Severe Tracking Disconnect
44b6_87bba6c4,149,24900,86,24814,63,0.0035,0.5772,0.0069,86,50,63,0.74999999990625,0.999999999875,Method 1: Standard Bg-Sub,7.429089572424558,92.0,0,0,0.0,0.5771812080498177,0.632352941171821,0.6035087714266296,0.42281879182518234,1.9125,3,Severe Tracking Disconnect
