dataset,edge_recall,recall_node,total_gt_edges,total_gt_nodes,official_edge_tp,official_edge_fn,pe_ratio_final,cull_rate_pct
6bba_6feb10f0,0.10871183916604617,0.1667,1343,1368,146,1197,0.9233,8.56
6bba_474be664,0.17832167832167833,0.4486,286,292,51,235,1.0067,16.67
6bba_ab78413d,0.23198594024604569,0.3282,1138,1179,264,874,0.9852,22.81
6bba_c73a1d11,0.36619718309859156,0.5929,710,737,260,450,1.0633,13.61
44b6_551a5dba,0.39732142857142855,0.9342,224,228,89,135,0.9661,30.45
44b6_e29f0176,0.4,0.6078,50,51,20,30,0.9618,9.46
44b6_9be80b04,0.42272727272727273,0.9414,220,222,93,127,1.0078,32.12
6bba_207c6aaf,0.4688888888888889,0.7137,450,475,211,239,1.0208,16.79
44b6_2f31fc2f,0.47058823529411764,0.8764,85,89,40,45,0.9957,8.95
6bba_55c70843,0.47751605995717344,0.8224,467,490,223,244,0.9531,20.04
6bba_57b7cc1e,0.4880653266331658,0.818,1592,1659,777,815,1.064,17.51
44b6_e35b117d,0.48872180451127817,0.763,266,270,130,136,1.0357,23.95
44b6_c50204e0,0.48923076923076925,0.8649,325,333,159,166,1.0257,15.07
44b6_0b24845f,0.4897959183673469,0.7059,49,51,24,25,1.0529,15.1
44b6_a2bb48bb,0.4902439024390244,0.9038,410,416,201,209,1.0096,22.22
6bba_786893ac,0.4924731182795699,0.9195,1395,1465,687,708,0.9841,24.99
6bba_ebff6e76,0.4936708860759494,0.7436,1264,1318,624,640,0.9793,12.66
44b6_cf2536e8,0.5066666666666667,0.6974,75,76,38,37,0.9844,17.97
44b6_d5e7d891,0.5207166853303471,0.8642,893,906,465,428,0.9787,18.52
44b6_3bb3690f,0.5277777777777778,0.91,396,400,209,187,1.0551,22.43
6bba_78a7bd97,0.53125,0.7302,832,886,442,390,0.957,7.19
44b6_9bfa6a0a,0.5366795366795367,0.9583,259,264,139,120,0.9435,23.36
44b6_e57ff5c6,0.543010752688172,0.8342,186,193,101,85,0.9715,10.86
6bba_6479435d,0.5482758620689655,0.7893,580,617,318,262,1.0077,17.53
44b6_267148e4,0.5487364620938628,0.8786,277,280,152,125,1.08,11.46
6bba_2540cd90,0.5544933078393881,0.9981,523,529,290,233,0.9659,16.8
44b6_66f9292d,0.5707070707070707,0.79,198,200,113,85,0.9482,21.06
6bba_a90a0b9c,0.572841726618705,0.8561,1112,1147,637,475,0.9885,11.48
44b6_87bba6c4,0.5771812080536913,0.902,149,153,86,63,1.0413,9.05
6bba_4ffd3da3,0.5805515239477503,0.7224,689,706,400,289,0.9815,7.54
6bba_f1fde7e0,0.5807174887892377,0.8613,446,476,259,187,0.9754,12.4
44b6_12dfb391,0.5808538163001293,0.9911,773,788,449,324,0.8577,28.28
6bba_32db13fc,0.5856966707768188,0.855,811,862,475,336,1.0163,14.84
6bba_b329af44,0.5867507886435331,0.9187,1268,1316,744,524,0.9438,21.62
44b6_f28707c6,0.5901639344262295,0.8413,61,63,36,25,1.0602,10.42
44b6_c771cb04,0.5964125560538116,0.9295,223,227,133,90,0.9849,18.93
44b6_e28840c6,0.598705501618123,0.9839,309,311,185,124,0.9954,22.43
44b6_5f15d135,0.6007326007326007,0.8633,273,278,164,109,1.0219,19.25
6bba_767a1e17,0.601823708206687,0.9025,658,718,396,262,0.9523,16.21
6bba_3abfe10a,0.6053475935828877,0.9198,935,997,566,369,0.977,18.7
44b6_d2f34f90,0.608540925266904,0.9329,281,283,171,110,1.0318,13.45
6bba_d5eae175,0.6146435452793835,0.9962,519,528,319,200,0.9951,9.75
44b6_7a302da0,0.6173570019723866,0.9516,507,516,313,194,0.9635,23.16
44b6_ddf577ad,0.6182380216383307,0.9636,647,659,400,247,0.9946,17.26
44b6_706092f0,0.6239316239316239,0.9407,117,118,73,44,0.9625,30.46
6bba_0c7fa718,0.6251896813353566,0.9162,659,704,412,247,0.9689,16.13
44b6_18ced818,0.6262626262626263,0.97,99,100,62,37,0.9124,27.3
6bba_3db54e20,0.6286919831223629,0.8785,474,502,298,176,0.9731,8.41
44b6_8cc6506c,0.6287878787878788,0.925,396,400,249,147,1.0562,18.46
6bba_09961292,0.6301443078567611,0.9841,1871,1950,1179,692,0.9685,22.67
6bba_e16ffc58,0.6305732484076433,0.9554,942,964,594,348,1.0302,16.94
6bba_bb9f20c3,0.6306546035125067,0.9403,1879,1925,1185,694,0.9652,20.89
6bba_6feeb0b1,0.6306775874906925,0.9496,1343,1389,847,496,1.0074,15.53
6bba_907271db,0.6340933767643865,0.9577,921,945,584,337,0.9763,13.03
6bba_05db0fb1,0.6348267117497887,0.9536,1183,1229,751,432,0.915,21.81
6bba_b204cac7,0.6350184956843403,0.9528,811,826,515,296,0.9947,11.71
6bba_825bd1c6,0.635483870967742,0.9742,930,968,591,339,1.0186,19.84
44b6_415c0a3a,0.6366459627329193,0.8489,322,331,205,117,0.9682,11.96
44b6_97725144,0.6380090497737556,0.8756,221,225,141,80,1.0387,21.41
6bba_5a4d9360,0.6412742382271468,0.8353,722,747,463,259,0.9543,9.01
6bba_268e1230,0.6436781609195402,0.8284,609,641,392,217,0.9841,13.95
6bba_c328f2fd,0.644,0.8082,500,511,322,178,0.9801,10.32
6bba_fc5f39dc,0.6441048034934498,0.7813,458,471,295,163,1.0061,8.83
44b6_949adeb1,0.6455026455026455,0.8737,378,388,244,134,0.9863,16.43
6bba_718b21f9,0.6457055214723927,0.9758,652,661,421,231,1.0307,9.94
44b6_74d0c52e,0.6474820143884892,0.8214,139,140,90,49,0.9577,6.56
6bba_7f87b3d8,0.6531049250535332,0.934,934,1000,610,324,0.9891,15.59
6bba_2646afc7,0.6532593619972261,0.9038,721,738,471,250,1.0413,10.96
6bba_1d0d8384,0.654945054945055,0.8901,1365,1438,894,471,1.0878,9.26
6bba_3a1849c2,0.6672504378283712,0.7698,1142,1173,762,380,0.9919,12.73
6bba_1f58c2f6,0.6688963210702341,0.9211,299,317,200,99,0.9723,21.25
44b6_3a861e03,0.6702937976060935,0.984,919,935,616,303,0.8828,22.63
6bba_d6ecebbb,0.6716937354988399,0.8363,862,886,579,283,1.078,10.94
44b6_71a4179f,0.6722689075630253,0.9835,119,121,80,39,0.9775,24.82
44b6_8f9ecab4,0.6756756756756757,0.9786,370,374,250,120,0.9977,19.21
6bba_e5e44988,0.6782334384858044,0.9099,634,666,430,204,0.9836,9.04
6bba_15403b9a,0.6803840877914952,0.9222,729,758,496,233,0.9589,10.05
6bba_0e7c0d07,0.6818181818181818,0.8756,198,209,135,63,0.9895,15.92
6bba_07e24132,0.6840579710144927,0.8969,345,359,236,109,1.4046,21.35
44b6_1d530831,0.6863468634686347,0.9348,271,276,186,85,0.9673,18.88
6bba_d3da753b,0.6884480746791132,0.9966,857,887,590,267,0.9899,18.2
6bba_312f0dc3,0.694,0.9385,500,520,347,153,0.9572,9.57
6bba_fc83837d,0.6944745395449621,0.8548,923,957,641,282,0.9685,9.32
44b6_40c45f5a,0.696969696969697,0.93,198,200,138,60,0.9846,22.55
6bba_fe670320,0.6970588235294117,0.9665,680,716,474,206,0.9422,17.34
6bba_67ebd073,0.6986301369863014,0.9416,438,462,306,132,0.9974,16.21
44b6_0c582fdc,0.7,0.9296,70,71,49,21,0.9878,13.91
44b6_8f5ab931,0.7019867549668874,0.875,604,616,424,180,0.9613,13.25
6bba_debd7bfa,0.7023319615912208,0.8695,729,766,512,217,0.9675,10.99
44b6_b2c44266,0.7023809523809523,0.9412,168,170,118,50,0.9608,24.14
6bba_f8ffd5e7,0.7054054054054054,0.9846,370,389,261,109,0.9802,18.71
44b6_c15fded2,0.7058823529411765,0.9904,102,104,72,30,0.9465,14.8
6bba_1ebfb80d,0.7107093184979137,0.894,719,745,511,208,1.0106,11.41
6bba_ebdf3b34,0.7110834371108343,0.974,803,847,571,232,0.971,14.9
6bba_ed9377fd,0.7125984251968503,0.9623,508,531,362,146,1.0684,11.68
6bba_f17befbc,0.7152709359605911,0.9109,1015,1078,726,289,0.9833,8.08
44b6_e31261b4,0.7168141592920354,0.9914,113,116,81,32,0.9145,20.37
6bba_fc516dc6,0.7230971128608924,0.9695,762,788,551,211,1.0216,12.33
6bba_edf14583,0.725,0.9875,760,801,551,209,0.9032,15.75
6bba_eebc57a5,0.7269969666329625,0.9288,989,1026,719,270,0.9654,5.21
6bba_d1acb6ff,0.7309486780715396,0.8737,643,681,470,173,0.9821,9.49
44b6_c96cfa10,0.7321428571428571,0.9571,616,629,451,165,0.9179,20.06
6bba_acd782a8,0.7333333333333333,0.9579,330,356,242,88,0.9816,9.72
44b6_deabac95,0.7338709677419355,0.881,124,126,91,33,0.9914,8.3
6bba_971fa5e0,0.7340286831812256,0.9798,767,792,563,204,1.0221,13.19
44b6_db3c847b,0.7345679012345679,0.8727,162,165,119,43,1.0103,9.99
6bba_2819ca14,0.7365648050579557,0.9615,949,986,699,250,0.9845,11.62
6bba_20852818,0.7370737073707371,0.9181,909,952,670,239,0.9768,14.16
44b6_7e557709,0.7375,0.9895,560,570,413,147,0.9324,19.9
6bba_b693381b,0.7390374331550802,0.9837,935,983,691,244,1.0605,16.3
44b6_d29c9ab2,0.7394578313253012,0.986,1328,1353,982,346,0.9819,15.29
6bba_705ec2c9,0.7437722419928826,0.8893,562,596,418,144,1.0037,13.03
44b6_eb2880fc,0.7519788918205804,0.9359,379,390,285,94,0.9478,9.92
6bba_6ca87370,0.7547528517110266,0.9528,1052,1081,794,258,1.0335,10.51
6bba_5c039895,0.759825327510917,0.971,1145,1174,870,275,0.9859,11.87
6bba_61ecbe65,0.760586319218241,0.9516,614,640,467,147,0.9638,9.63
6bba_062c8d37,0.7661469933184856,0.9602,898,930,688,210,0.9753,12.5
6bba_d2b9fc0c,0.7665580890336591,0.9894,921,944,706,215,1.0339,16.07
44b6_d78e09d9,0.7671840354767184,0.9266,451,463,346,105,0.991,10.69
6bba_cff5865f,0.7681545636242505,0.9822,1501,1571,1153,348,0.9658,13.8
6bba_9a41d029,0.7694013303769401,0.935,1353,1401,1041,312,0.9923,12.49
6bba_74686d6a,0.7708333333333334,0.8754,576,586,444,132,0.8758,7.36
44b6_2a2eff9f,0.7714285714285715,0.972,210,214,162,48,0.9767,14.13
6bba_80d12824,0.7767584097859327,0.9647,654,680,508,146,1.0282,13.22
6bba_283bf9f1,0.7771739130434783,0.9158,1288,1342,1001,287,0.9759,6.09
6bba_5dfe9ad1,0.7800941492938803,0.9092,1487,1542,1160,327,1.0085,9.24
6bba_085bf656,0.785958904109589,0.9883,1168,1198,918,250,0.9768,11.18
6bba_f20478e9,0.7881619937694704,0.989,963,1003,759,204,1.0107,9.84
44b6_144b256d,0.7899159663865546,0.9256,119,121,94,25,1.0058,18.73
6bba_7d3058ae,0.7919863597612958,0.9892,1173,1200,929,244,0.9933,10.5
6bba_ae82a791,0.7946974847042828,0.9739,1471,1495,1169,302,0.9969,11.81
44b6_33b596bf,0.7959183673469388,0.9,49,50,39,10,0.9714,13.83
6bba_969618f6,0.7963525835866262,0.8851,658,679,524,134,0.9665,8.25
44b6_24264f12,0.7963800904977375,0.9478,221,230,176,45,0.9846,11.87
6bba_a5e926bb,0.7979942693409742,0.9757,698,741,557,141,0.9716,9.84
6bba_48816121,0.8006535947712419,0.9497,918,935,735,183,0.9878,7.1
6bba_af149c94,0.8010630220197419,0.9333,1317,1350,1055,262,0.9746,10.67
6bba_05b6850b,0.8023668639053254,0.935,845,861,678,167,1.0721,13.43
44b6_1574802b,0.803921568627451,0.9355,153,155,123,30,0.949,13.75
6bba_87289e13,0.804005722460658,0.9972,699,724,562,137,0.9793,9.36
6bba_96833384,0.8058252427184466,0.9472,721,758,581,140,0.9815,9.14
6bba_d0fc38b5,0.8068880688806888,0.9808,813,835,656,157,1.047,8.47
6bba_b1ae37b9,0.8082901554404145,0.9739,579,612,468,111,0.9838,11.8
44b6_668e0cc7,0.8129952456418383,0.9689,631,643,513,118,0.9695,7.37
6bba_c27cba08,0.8133874239350912,0.94,493,517,401,92,0.9541,8.51
6bba_afb141ff,0.8146964856230032,0.9648,626,654,510,116,1.0269,13.47
6bba_789f8168,0.8149779735682819,0.9832,681,713,555,126,0.9978,10.92
44b6_90724892,0.8155339805825242,0.981,103,105,84,19,0.9507,15.64
6bba_76db78c1,0.8162251655629139,0.9984,604,617,493,111,0.9681,9.06
44b6_587a1e22,0.816711590296496,0.9633,371,381,303,68,1.0155,8.46
44b6_c8e2a523,0.8170731707317073,0.994,164,168,134,30,0.8967,21.17
6bba_8b7818bf,0.8193103448275862,0.9838,725,741,594,131,1.0443,12.17
6bba_7b5d3b2c,0.8216216216216217,0.9717,555,565,456,99,0.9749,6.33
6bba_07477033,0.8222591362126246,0.9739,602,613,495,107,1.0585,10.32
6bba_d82a4fc6,0.8226415094339623,0.9872,530,545,436,94,0.9922,13.35
6bba_6db0e9b4,0.8227272727272728,0.9666,440,449,362,78,0.9781,14.36
44b6_53f95252,0.8235294117647058,0.9571,68,70,56,12,0.9598,20.24
