dataset,pair_type,distance_um,cos_similarity,accel_norm_um,speed_ratio
6bba_9a41d029,True_Cell_Link (TP->TP),0.9084026,-0.536656,2.6328008,0.44721138
6bba_9a41d029,FP_Noise_Link (TP->FP),3.0400965,-0.90868807,4.9589133,1.4966556
6bba_786893ac,True_Cell_Link (TP->TP),0.9084026,-0.98994875,2.1877232,0.7071013
6bba_786893ac,FP_Noise_Link (TP->FP),5.873088,-0.10936966,6.147678,4.571616
6bba_c73a1d11,True_Cell_Link (TP->TP),2.6328008,0.70814204,2.3337286,0.8038345
6bba_c73a1d11,FP_Noise_Link (TP->FP),5.9290237,0.48442698,5.2025385,1.8102219
44b6_9be80b04,True_Cell_Link (TP->TP),0.40625,-0.21821761,1.9902104,0.21821672
44b6_9be80b04,FP_Noise_Link (TP->FP),3.8325548,0.8095867,2.5693505,2.0586524
6bba_a90a0b9c,True_Cell_Link (TP->TP),1.2846752,0.98994875,0.40625,1.4141979
6bba_a90a0b9c,FP_Noise_Link (TP->FP),4.1628237,0.91651493,3.3500233,4.5825253
6bba_7b5d3b2c,True_Cell_Link (TP->TP),0.0,0.0,1.7235727,0.0
6bba_7b5d3b2c,FP_Noise_Link (TP->FP),4.542013,-0.06324554,4.9589133,2.6352162
44b6_9bfa6a0a,True_Cell_Link (TP->TP),1.8168052,0.31622747,1.7235727,3.1622224
44b6_9bfa6a0a,FP_Noise_Link (TP->FP),6.21443,-0.27735,6.397631,10.816464
6bba_062c8d37,True_Cell_Link (TP->TP),1.7235727,0.14907114,1.9902104,1.3416303
6bba_062c8d37,FP_Noise_Link (TP->FP),2.03125,0.5692098,1.6750116,1.5811266
44b6_d29c9ab2,True_Cell_Link (TP->TP),2.7252078,0.3162277,2.7252078,1.5811297
44b6_d29c9ab2,FP_Noise_Link (TP->FP),6.8582892,0.15357976,6.809991,3.979089
6bba_15403b9a,True_Cell_Link (TP->TP),15.03125,0.0,15.03125,1.503125e+06
