dataset,gt_edges,pairs_pos,pairs_neg,elapsed_sec
44b6_0113de3b,50,49,37419,0.72
44b6_0b24845f,49,27,41954,0.88
44b6_0c582fdc,70,50,39497,0.78
44b6_0db75fae,151,132,19764,0.57
44b6_12dfb391,773,742,107378,1.9
44b6_144b256d,119,99,124569,2.14
44b6_1574802b,153,130,21482,0.61
44b6_18ced818,99,87,148227,2.74
44b6_1d530831,271,223,55577,1.07
44b6_24264f12,221,197,38304,0.75
44b6_267148e4,277,191,25917,0.68
44b6_2a2eff9f,210,194,86242,1.6
44b6_2f31fc2f,85,50,27430,0.65
44b6_33b596bf,49,40,31412,0.65
44b6_341df25f,209,196,8270,0.46
44b6_3a861e03,919,846,58917,1.22
44b6_3bb3690f,396,310,65898,1.13
44b6_40c45f5a,198,163,56500,1.04
44b6_415c0a3a,322,235,83589,1.58
44b6_53f95252,68,62,58864,1.07
44b6_551a5dba,224,180,131561,2.11
44b6_5740d24b,170,159,19235,0.58
44b6_587a1e22,371,341,22781,0.63
44b6_5f15d135,273,194,41670,0.9
44b6_668e0cc7,631,575,50734,1.08
44b6_66f9292d,198,133,86759,1.54
44b6_706092f0,117,97,173797,2.72
44b6_71a4179f,119,105,149901,2.38
44b6_74d0c52e,139,95,14801,0.53
44b6_7a302da0,507,437,125439,2.27
44b6_7e557709,560,544,96477,1.7
44b6_808952d6,179,179,19226,0.57
44b6_81c256f0,197,197,12048,0.5
44b6_87bba6c4,149,93,35625,0.77
44b6_8cc6506c,396,322,55629,1.03
44b6_8f5ab931,604,460,36506,0.82
44b6_8f9ecab4,370,346,148951,2.56
44b6_90724892,103,94,36568,0.69
44b6_949adeb1,378,281,53753,1.06
44b6_95029e92,198,198,6081,0.45
44b6_97725144,221,168,53183,1.14
44b6_996155de,377,351,10645,0.5
44b6_9be80b04,220,191,149270,2.31
44b6_9bfa6a0a,259,221,129649,2.08
44b6_a21120c2,286,271,29953,0.68
44b6_a2bb48bb,410,301,103919,2.02
44b6_aaf8b0ea,206,203,25217,0.64
44b6_abf82518,94,93,34911,0.72
44b6_b2c44266,168,139,122373,1.96
44b6_c15fded2,102,85,27144,0.61
44b6_c50204e0,325,221,69055,1.37
44b6_c771cb04,223,175,87378,1.58
44b6_c8e2a523,164,156,54005,0.94
44b6_c96cfa10,616,556,74517,1.35
44b6_cf2536e8,75,44,97203,1.68
44b6_cf8fed6b,188,181,55064,1.2
44b6_d29c9ab2,1328,1251,56424,1.22
44b6_d2f34f90,281,234,33788,0.74
44b6_d5e7d891,893,628,71949,1.37
44b6_d754aa59,70,63,7844,0.41
44b6_d78e09d9,451,392,29852,0.76
44b6_db3c847b,162,128,17979,0.55
44b6_ddf577ad,647,579,98504,1.65
44b6_deabac95,124,97,16327,0.53
44b6_e28840c6,309,302,167091,2.7
44b6_e29f0176,50,21,14438,0.47
44b6_e31261b4,113,108,118951,2.13
44b6_e35b117d,266,168,43417,0.94
44b6_e57ff5c6,186,108,22223,0.62
44b6_eb2880fc,379,324,61280,1.23
44b6_f28707c6,61,37,24192,0.6
6bba_05b6850b,845,737,8005,0.53
6bba_05db0fb1,1183,1059,126329,2.24
6bba_062c8d37,898,818,5995,0.52
6bba_07477033,602,538,5622,0.48
6bba_07e24132,345,287,52535,0.96
6bba_085bf656,1168,1078,8590,0.59
6bba_09961292,1871,1767,59508,1.19
6bba_0c7fa718,659,490,18643,0.6
6bba_0e7c0d07,198,142,33534,0.72
6bba_12665c0e,998,892,7684,0.56
6bba_13f19531,704,652,5753,0.5
6bba_15403b9a,729,577,6606,0.51
6bba_1d0d8384,1365,1127,27898,0.77
6bba_1ebfb80d,719,561,15584,0.58
6bba_1f58c2f6,299,236,42441,0.89
6bba_207c6aaf,450,242,13909,0.54
6bba_20852818,909,790,11564,0.58
6bba_2312ac41,1132,1045,11312,0.62
6bba_23af9eeb,499,456,5264,0.48
6bba_2540cd90,523,474,4790,0.47
6bba_2646afc7,721,558,6541,0.49
6bba_268e1230,609,432,4956,0.47
6bba_2819ca14,949,801,5140,0.52
6bba_283bf9f1,1288,1049,20922,0.74
6bba_312f0dc3,500,397,10026,0.51
6bba_32db13fc,811,574,54394,1.15
6bba_337b1b3a,1213,1161,36452,0.93
6bba_372c8cb8,1007,952,8125,0.57
6bba_3a1849c2,1142,827,8056,0.55
6bba_3abfe10a,935,767,82776,1.61
6bba_3c5691b6,746,695,7109,0.53
6bba_3db54e20,474,336,28629,0.75
6bba_3fda6b25,1179,1121,9578,0.6
6bba_43fea39d,880,801,5523,0.51
6bba_474be664,286,76,42913,0.9
6bba_48816121,918,786,25763,0.76
6bba_4aa14c89,681,608,6580,0.51
6bba_4f99ce20,1010,904,5395,0.53
6bba_4ffd3da3,689,411,17933,0.62
6bba_55b7eebe,688,646,5224,0.5
6bba_55c70843,467,318,57389,1.08
6bba_57b7cc1e,1592,1009,109339,2.3
6bba_5a4d9360,722,497,5338,0.49
6bba_5b28472a,724,693,6830,0.5
6bba_5c039895,1145,1015,9056,0.58
6bba_5c824876,1130,985,27437,0.79
6bba_5dfe9ad1,1487,1268,29892,0.91
6bba_5f89039d,885,811,4280,0.52
6bba_61dd1e0d,543,498,11047,0.52
6bba_61ecbe65,614,505,5233,0.5
6bba_6321a359,798,724,4904,0.5
6bba_6479435d,580,369,33656,0.79
6bba_67ebd073,438,345,20998,0.64
6bba_6ca87370,1052,895,8582,0.56
6bba_6db0e9b4,440,396,41551,0.83
6bba_6feb10f0,1343,137,8900,0.46
6bba_6feeb0b1,1343,1193,10172,0.59
6bba_705ec2c9,562,453,6269,0.48
6bba_718b21f9,652,584,4995,0.48
6bba_74686d6a,576,459,32652,0.76
6bba_767a1e17,658,503,66999,1.3
6bba_76db78c1,604,557,4900,0.48
6bba_784a78c9,1739,1638,12192,0.7
6bba_786893ac,1395,1096,119115,2.12
6bba_789f8168,681,599,12400,0.57
6bba_78a7bd97,832,484,53062,1.07
6bba_7af54fde,1092,980,10158,0.6
6bba_7b5d3b2c,555,508,5656,0.48
6bba_7d3058ae,1173,1121,8091,0.58
6bba_7f87b3d8,934,698,11366,0.58
6bba_80d12824,654,575,11142,0.55
6bba_825bd1c6,930,832,11863,0.57
6bba_87289e13,699,633,18810,0.63
6bba_8b7818bf,725,668,6685,0.51
6bba_907271db,921,763,7743,0.54
6bba_91951b3a,1148,1042,12003,0.63
6bba_96833384,721,610,4494,0.49
6bba_969618f6,658,540,13750,0.59
6bba_971fa5e0,767,671,6491,0.51
6bba_9a41d029,1353,1135,24509,0.87
6bba_9e23430b,891,798,7427,0.54
6bba_a5e926bb,698,585,8108,0.54
6bba_a90a0b9c,1112,805,59083,1.11
6bba_ab78413d,1138,306,12089,0.52
6bba_acd782a8,330,275,23004,0.63
6bba_ae82a791,1471,1365,7716,0.62
6bba_aeee7805,768,743,4806,0.5
6bba_af149c94,1317,1144,9624,0.6
6bba_afb141ff,626,551,7132,0.5
6bba_b1ae37b9,579,536,40653,0.79
6bba_b204cac7,811,721,6099,0.52
6bba_b329af44,1268,1034,114831,2.04
6bba_b693381b,935,838,5827,0.54
6bba_bb9f20c3,1879,1653,36130,0.92
6bba_bbb708ca,861,775,6630,0.53
