dataset,inter_nn_median,inter_nn_p75,n_nodes,n_frames,density
44b6_0113de3b,2.333728575156074,3.350023320814349,29560,100,295.6
44b6_0b24845f,4.667457150312148,6.080193253507654,40892,100,408.92
44b6_0c582fdc,3.447145558284419,4.772356925566235,32109,100,321.09
44b6_0db75fae,4.375446405796785,5.887121803139459,17612,100,176.12
44b6_12dfb391,1.86167137607581,2.6012692214570947,70294,100,702.94
44b6_144b256d,1.4647552056572457,2.0714766773970688,81473,100,814.73
44b6_1574802b,2.03125,3.374565944310468,19457,100,194.57
44b6_18ced818,2.9575446425202108,4.241374519244911,98743,100,987.43
44b6_1d530831,2.4375,3.5992198729076037,42754,100,427.54
44b6_24264f12,2.4375,3.350023320814349,29451,100,294.51
44b6_267148e4,2.368824207280903,3.494694639736067,23333,100,233.33
44b6_2a2eff9f,2.0714766773970688,3.356158976688379,64155,100,641.55
44b6_2f31fc2f,3.350023320814349,5.170718337426629,26695,100,266.95
44b6_33b596bf,2.0714766773970688,2.9575446425202108,26320,100,263.2
44b6_341df25f,2.03125,2.865403473927762,7996,100,79.96
44b6_3a861e03,2.03125,2.8726212985703494,46343,100,463.43
44b6_3bb3690f,2.0714766773970688,3.65625,43485,100,434.85
44b6_40c45f5a,2.1877232028983924,3.843290366614104,41576,100,415.76
44b6_415c0a3a,1.6750116604071745,2.0714766773970688,63058,100,630.58
44b6_53f95252,2.2980970388562794,3.65625,46643,100,466.43
44b6_551a5dba,1.8168052317185792,2.9295104113144914,80053,100,800.53
44b6_5740d24b,2.368824207280903,4.318496736423452,19252,100,192.52
44b6_587a1e22,3.350023320814349,4.89189779763437,20126,100,201.26
44b6_5f15d135,4.4502457797294745,5.970631248033997,37539,100,375.39
44b6_668e0cc7,2.569350598886808,3.350023320814349,41558,100,415.58
44b6_66f9292d,1.284675299443404,2.0714766773970688,63374,100,633.74
44b6_706092f0,1.625,2.1877232028983924,97586,100,975.86
44b6_71a4179f,1.625,2.1877232028983924,88466,100,884.66
44b6_74d0c52e,1.7235727791422095,3.300390601883359,15465,100,154.65
44b6_7a302da0,1.7235727791422095,2.4375,84212,100,842.12
44b6_7e557709,1.8168052317185792,2.333728575156074,65274,100,652.74
44b6_808952d6,1.7235727791422095,2.368824207280903,17250,100,172.5
44b6_81c256f0,1.8168052317185792,2.368824207280903,11229,100,112.29
44b6_87bba6c4,2.9295104113144914,3.917733121653388,32189,100,321.89
44b6_8cc6506c,1.86167137607581,3.471001521535247,41770,100,417.7
44b6_8f5ab931,2.4375,3.661875053092081,30572,100,305.72
44b6_8f9ecab4,1.6750116604071745,2.1877232028983924,92530,100,925.3
44b6_90724892,2.769895204938647,3.72334275215162,28793,100,287.93
44b6_949adeb1,3.374565944310468,4.375446405796785,43898,100,438.98
44b6_95029e92,2.0714766773970688,2.8726212985703494,5917,100,59.17
44b6_97725144,4.487177913232324,6.1978067510073265,47295,100,472.95
44b6_996155de,1.21875,1.8168052317185792,10346,100,103.46
44b6_9be80b04,1.7235727791422095,3.25,85936,100,859.36
44b6_9bfa6a0a,1.625,2.03125,79214,100,792.14
44b6_a21120c2,2.368824207280903,3.3376151410816015,24418,100,244.18
44b6_a2bb48bb,2.0714766773970688,3.72334275215162,78888,100,788.88
44b6_aaf8b0ea,1.7235727791422095,3.2752922102462856,22226,100,222.26
44b6_abf82518,1.8168052317185792,3.25,29902,100,299.02
44b6_b2c44266,1.7235727791422095,2.6012692214570947,75735,100,757.35
44b6_c15fded2,2.8145825622994254,3.7782013703158857,22883,100,228.83
44b6_c50204e0,2.1877232028983924,3.832554834897995,56899,100,568.99
44b6_c771cb04,1.86167137607581,3.2752922102462856,64995,100,649.95
44b6_c8e2a523,5.008586377412294,6.20113711850496,37716,100,377.16
44b6_c96cfa10,1.8168052317185792,2.8726212985703494,53101,100,531.01
44b6_cf2536e8,1.7235727791422095,2.632800908728193,69123,100,691.23
44b6_cf8fed6b,3.494694639736067,4.958913218891817,47912,100,479.12
44b6_d29c9ab2,2.4375,3.093907824257213,44145,100,441.45
44b6_d2f34f90,1.9902104160113323,3.832554834897995,28723,100,287.23
44b6_d5e7d891,1.8168052317185792,2.632800908728193,53892,100,538.92
44b6_d754aa59,3.72334275215162,5.025034981221523,7365,100,73.65
44b6_d78e09d9,2.368824207280903,3.65625,24708,100,247.08
44b6_db3c847b,2.471122277933652,3.72334275215162,16872,100,168.72
44b6_ddf577ad,1.6750116604071745,2.1877232028983924,64326,100,643.26
44b6_deabac95,2.7252078475778685,3.832554834897995,15128,100,151.28
44b6_e28840c6,1.21875,2.03125,96125,100,961.25
44b6_e29f0176,3.471001521535247,5.020922830269216,13778,100,137.78
44b6_e31261b4,2.6012692214570947,4.021669817998489,83724,100,837.24
44b6_e35b117d,2.2980970388562794,3.65625,39054,100,390.54
44b6_e57ff5c6,6.187815648514426,7.991871531308582,22176,100,221.76
44b6_eb2880fc,2.8726212985703494,4.823951472859154,50595,100,505.95
44b6_f28707c6,2.2980970388562794,3.374565944310468,22089,100,220.89
6bba_05b6850b,1.8392383038971944,2.835767935822229,7881,100,78.81
6bba_05db0fb1,2.03125,2.7252078475778685,81767,100,817.67
6bba_062c8d37,3.832554834897995,6.662995408410545,6727,100,67.27
6bba_07477033,1.7235727791422095,2.8726212985703494,5713,100,57.13
6bba_07e24132,1.8168052317185792,2.6012692214570947,38387,100,383.87
6bba_085bf656,2.9575446425202108,3.8540258983302125,9310,100,93.1
6bba_09961292,1.6750116604071745,2.333728575156074,38973,100,389.73
6bba_0c7fa718,3.65625,5.404804720107841,15776,100,157.76
6bba_0e7c0d07,2.0714766773970688,3.0671202393287422,26441,100,264.41
