dataset,threshold,threshold_single,raw_nodes,filtered_nodes,est_nodes,pe_ratio,in_ideal_pe,is_positive,pred_edges,tp_edges,gt_edges,edge_recall,penalty,kaggle_score
44b6_0113de3b,0.0002,0.0001,29560,28454,25755,1.1048,False,False,26287,48,50,0.96,0.8952,0.8594
44b6_0113de3b,0.0005,0.00025,29560,27779,25755,1.0786,False,False,25195,48,50,0.96,0.9214,0.8846
44b6_0113de3b,0.001,0.0005,29560,26714,25755,1.0372,False,False,23457,48,50,0.96,0.9628,0.9243
44b6_0113de3b,0.002,0.001,29560,24819,25755,0.9637,True,True,20624,46,50,0.92,1.0,0.92
44b6_0113de3b,0.005,0.0025,29560,19678,25755,0.764,False,False,14379,38,50,0.76,1.0,0.76
44b6_0113de3b,0.01,0.005,29560,13080,25755,0.5079,False,False,8353,25,50,0.5,1.0,0.5
44b6_0113de3b,0.015,0.0075,29560,8823,25755,0.3426,False,False,5305,15,50,0.3,1.0,0.3
44b6_0113de3b,0.02,0.01,29560,6135,25755,0.2382,False,False,3528,13,50,0.26,1.0,0.26
44b6_0113de3b,0.03,0.015,29560,3312,25755,0.1286,False,False,1837,9,50,0.18,1.0,0.18
44b6_0113de3b,0.05,0.025,29560,1369,25755,0.0532,False,False,741,6,50,0.12,1.0,0.12
44b6_0b24845f,0.0002,0.0001,40892,37647,32795,1.1479,False,False,31933,26,49,0.5306,0.8521,0.4521
44b6_0b24845f,0.0005,0.00025,40892,36818,32795,1.1227,False,False,30872,25,49,0.5102,0.8773,0.4476
44b6_0b24845f,0.001,0.0005,40892,35372,32795,1.0786,False,False,29039,25,49,0.5102,0.9214,0.4701
44b6_0b24845f,0.002,0.001,40892,32385,32795,0.9875,True,False,25556,20,49,0.4082,1.0,0.4082
44b6_0b24845f,0.005,0.0025,40892,24686,32795,0.7527,False,False,17831,14,49,0.2857,1.0,0.2857
44b6_0b24845f,0.01,0.005,40892,16450,32795,0.5016,False,False,11025,10,49,0.2041,1.0,0.2041
44b6_0b24845f,0.015,0.0075,40892,11999,32795,0.3659,False,False,7653,9,49,0.1837,1.0,0.1837
44b6_0b24845f,0.02,0.01,40892,9272,32795,0.2827,False,False,5699,7,49,0.1429,1.0,0.1429
44b6_0b24845f,0.03,0.015,40892,6104,32795,0.1861,False,False,3574,4,49,0.0816,1.0,0.0816
44b6_0b24845f,0.05,0.025,40892,3384,32795,0.1032,False,False,1876,2,49,0.0408,1.0,0.0408
44b6_0c582fdc,0.0002,0.0001,32109,30380,27958,1.0866,False,False,27287,50,70,0.7143,0.9134,0.6524
44b6_0c582fdc,0.0005,0.00025,32109,29694,27958,1.0621,False,False,26398,50,70,0.7143,0.9379,0.6699
44b6_0c582fdc,0.001,0.0005,32109,28717,27958,1.0271,False,False,25238,50,70,0.7143,0.9729,0.6949
44b6_0c582fdc,0.002,0.001,32109,27219,27958,0.9736,True,True,23518,50,70,0.7143,1.0,0.7143
44b6_0c582fdc,0.005,0.0025,32109,24257,27958,0.8676,False,False,20236,44,70,0.6286,1.0,0.6286
44b6_0c582fdc,0.01,0.005,32109,21006,27958,0.7513,False,False,16892,34,70,0.4857,1.0,0.4857
44b6_0c582fdc,0.015,0.0075,32109,18682,27958,0.6682,False,False,14528,30,70,0.4286,1.0,0.4286
44b6_0c582fdc,0.02,0.01,32109,16773,27958,0.5999,False,False,12626,27,70,0.3857,1.0,0.3857
44b6_0c582fdc,0.03,0.015,32109,13712,27958,0.4904,False,False,9710,26,70,0.3714,1.0,0.3714
44b6_0c582fdc,0.05,0.025,32109,9340,27958,0.3341,False,False,6068,15,70,0.2143,1.0,0.2143
44b6_0db75fae,0.0002,0.0001,17612,16787,15335,1.0947,False,False,15142,129,151,0.8543,0.9053,0.7734
44b6_0db75fae,0.0005,0.00025,17612,16465,15335,1.0737,False,False,14693,128,151,0.8477,0.9263,0.7852
44b6_0db75fae,0.001,0.0005,17612,16050,15335,1.0466,False,False,14103,128,151,0.8477,0.9534,0.8082
44b6_0db75fae,0.002,0.001,17612,15265,15335,0.9954,False,False,13087,124,151,0.8212,1.0,0.8212
44b6_0db75fae,0.005,0.0025,17612,13325,15335,0.8689,False,False,10835,119,151,0.7881,1.0,0.7881
44b6_0db75fae,0.01,0.005,17612,11100,15335,0.7238,False,False,8645,110,151,0.7285,1.0,0.7285
44b6_0db75fae,0.015,0.0075,17612,9582,15335,0.6248,False,False,7207,98,151,0.649,1.0,0.649
44b6_0db75fae,0.02,0.01,17612,8451,15335,0.5511,False,False,6216,87,151,0.5762,1.0,0.5762
44b6_0db75fae,0.03,0.015,17612,6981,15335,0.4552,False,False,4867,76,151,0.5033,1.0,0.5033
44b6_0db75fae,0.05,0.025,17612,5014,15335,0.327,False,False,3282,54,151,0.3576,1.0,0.3576
44b6_12dfb391,0.0002,0.0001,70294,66403,58672,1.1318,False,False,59899,627,773,0.8111,0.8682,0.7042
44b6_12dfb391,0.0005,0.00025,70294,62824,58672,1.0708,False,False,54601,597,773,0.7723,0.9292,0.7177
44b6_12dfb391,0.001,0.0005,70294,57360,58672,0.9776,True,True,47694,552,773,0.7141,1.0,0.7141
44b6_12dfb391,0.002,0.001,70294,49056,58672,0.8361,False,False,38285,471,773,0.6093,1.0,0.6093
44b6_12dfb391,0.005,0.0025,70294,32998,58672,0.5624,False,False,23086,312,773,0.4036,1.0,0.4036
44b6_12dfb391,0.01,0.005,70294,19831,58672,0.338,False,False,12897,176,773,0.2277,1.0,0.2277
